ImageID,Name,Status Completed (Y/N)
ami-197aba0f,WEST_WA_PS10.1_KENNEWICK_20170201_160_MEDIUM_CSS_,
ami-1991980e,AUTOMATION_EAST_NJ_PS1002_CSS_WEST_ORANGE_05032016_V2_120_SMALL_,
ami-19e68766,EAST_GA_PS12_OGLETHORPE_01232018_160_MEDIUM_,
ami-1ac2610c,EAST_PA_PS1010_CSSV1_NORTH_HILLS_02082017_160_MEDIUM_,
ami-1ad20d67,WEST_OK_PS1104_CSS_BYNGSCHOOL_MIGRATED_01052018_120_SMALL_,
ami-1b31a261,WEST_UT_PS1103_CSS_SALT_LAKE_01202017_220_LARGE_,
ami-1ca72e0a,AUTOMATION_WEST_OR_PS10130_WOODBURN_09232015_120_SMALL_,
ami-1cc85d63,EAST_SC_PS1104_GREENVILLE_05112018_PSSR178972_300_LARGE_,
ami-1cda5a0a,CENTRAL_MS_10121_CSS_DESOTO_01062016_160_MEDIUM_,
ami-1d507566,CANADA_ON_PS1014_SIMCOE_COUNTY_PSSR157040_NIGHT_SCHOOL_160_MEDIUM_,
ami-1df1ff67,WEST_OR_PS1104_CSS_WOODBURN_09232015_160_MEDIUM_,
ami-1e2e8764,PM_APPLEGROVE_17-18_PS1103_AK_SALES_DEMO_120_LARGE_,
ami-1ec5c909,PM_APPLEGROVE_16-17_PS10_NO_STATE_SALES_DEMO_120_LARGE_,
ami-1edbdc08,WEST_WA_PS11_CSSV1_KENNEWICK_02012017_160_MEDIUM_,
ami-1f271565,WEST_CA_PS11_CSS_MANHATTAN_MIGRATED_06032015_220_LARGE_,
ami-212b985e,EAST_SC_PS11043_CSS_ANDERSON_COUNTY_04132018_160_MEDIUM_,
ami-23985e59,EAST_SC_PS1103_CSS_GREENVILLE_09202017_400_LARGE_,
ami-239a6a5e,PM_APPLEGROVE_17-18_PS1103_AB_SALES_DEMO_220_LARGE_,
ami-23d9d535,COMMON_TESTCA_PS 11_FOLSOM_20160705_160_MEDIUM_,
ami-23dd2635,EAST_PA_PS10.1_HAVERFORD_TOWNSHIP_20170117_SMALL_CSS_,
ami-252f865f,PM_APPLEGROVE_17-18_PS1103_IA_SALES_DEMO_120_LARGE_,
ami-2578eb5f,CANADA_PS11031_OTTAWA_CATHOLIC_11042017_PSSR165916_SR1710120_220_LARGE_,
ami-27a2b85c,QA_TEMP_WEST_CA_PS1021_CSS_SANDIEGO_ADA_20170228_LARGE_375GB_v3.0,
ami-27e32931,CENTRAL_SK_PS924_CSS_PSSR_140137_09102016_120_SMALL_,
ami-281bd845,COMMON_SIF_BASE_01_SSL_120_SMALL_,
